广东频道,#genre#
凤凰资讯,http://115.203.157.51:58888/rtp/233.50.200.192:5140
凤凰资讯,http://115.230.183.55:9999/rtp/233.50.200.192:5140
凤凰资讯,http://115.193.30.85:9999/rtp/233.50.200.192:5140
凤凰资讯,http://58.215.231.60/live2.rxip.sc96655.com/live/test2_4000.m3u8
凤凰资讯,http://117.27.190.42:9998/tsfile/live/23279_1.m3u8?key=txiptv&playlive=1&authid=0
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv$720x576
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv$720x576
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=8ee59707fee3ef96c922e680-167055218938751&wsIPSercert=d24f6d7c9d3646d9533d492d5209384b&wsMonitor=0
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0
电影频道,#genre#
CHC动作电影,http://124.163.112.145:6001/rtp/226.0.2.94:8012
CHC动作电影,http://171.116.226.246:8082/rtp/226.0.2.94:8012
CHC动作电影,http://60.27.20.30:5555/rtp/225.1.1.215:5002
CHC动作电影,http://118.79.115.210:6000/rtp/226.0.2.94:8012
CHC动作电影,http://171.116.183.226:8085/rtp/226.0.2.94:8012
CHC动作电影,http://125.37.160.173:4022/rtp/225.1.1.215:5002
CHC动作电影,http://111.167.49.238:5002/rtp/225.1.1.215:5002
CHC动作电影,http://219.140.224.108:5555/rtp/239.69.1.242:11094
CHC动作电影,http://119.98.133.99:4022/rtp/239.69.1.242:11094
CHC动作电影,http://119.98.37.169:85/rtp/239.69.1.242:11094
CHC动作电影,http://60.220.167.85:8083/rtp/226.0.2.94:8012
CHC动作电影,http://124.230.56.141:55555/rtp/239.76.245.243:1234
CHC动作电影,http://27.16.219.181:4022/rtp/239.69.1.242:11094
CHC动作电影,http://221.205.180.219:8005/rtp/226.0.2.94:8012
CHC动作电影,http://119.98.134.206:5555/rtp/239.69.1.242:11094
CHC家庭影院,http://124.163.112.145:6001/rtp/226.0.2.240:9820
CHC家庭影院,http://171.116.226.246:8082/rtp/226.0.2.240:9820
CHC家庭影院,http://60.27.20.30:5555/rtp/225.1.1.213:5002
CHC家庭影院,http://118.79.115.210:6000/rtp/226.0.2.240:9820
CHC家庭影院,http://171.116.183.226:8085/rtp/226.0.2.240:9820
CHC家庭影院,http://125.37.160.173:4022/rtp/225.1.1.213:5002
CHC家庭影院,http://111.167.49.238:5002/rtp/225.1.1.213:5002
CHC家庭影院,http://219.140.224.108:5555/rtp/239.69.1.243:11100
CHC家庭影院,http://119.98.133.99:4022/rtp/239.69.1.243:11100
CHC家庭影院,http://119.98.37.169:85/rtp/239.69.1.243:11100
CHC家庭影院,http://60.220.167.85:8083/rtp/226.0.2.240:9820
CHC家庭影院,http://124.230.56.141:55555/rtp/239.76.245.241:1234
CHC家庭影院,http://27.16.219.181:4022/rtp/239.69.1.243:11100
CHC家庭影院,http://221.205.180.219:8005/rtp/226.0.2.240:9820
CHC家庭影院,http://119.98.134.206:5555/rtp/239.69.1.243:11100
CHC高清电影,http://124.163.112.145:6001/rtp/226.0.2.93:8004
CHC高清电影,http://171.116.226.246:8082/rtp/226.0.2.93:8004
CHC高清电影,http://60.27.20.30:5555/rtp/225.1.1.214:5002
